pca1,pca2,category
3.6234393,-2.2823038,cancer
-1.9218768,-1.1334707,gastrointestinal
-0.8466266,1.9222687,cancer
-0.7021312,3.1762009,mental_health
-0.30783793,2.5959823,nervous_system
3.6272154,0.36587465,nervous_system
0.296316,-0.6250209,gastrointestinal
-2.1762934,7.475252,immune_system
8.480329,14.871102,cancer
6.610929,-2.7540703,immune_system
-3.1762252,0.5181893,cancer
5.276582,-3.3364308,cancer
-2.0953207,-3.0831099,nervous_system
2.8472006,3.9557555,cancer
0.017824316,-4.1798606,cancer
0.5980741,3.8343577,mental_health
-0.8422445,0.5942964,gastrointestinal
4.690621,0.43149343,cancer
3.5969646,-3.4686005,immune_system
-2.6384277,3.2640586,cancer
-1.6354206,-2.089345,cancer
-1.3178102,-4.0797005,immune_system
-3.279976,-0.18331975,nervous_system
-2.224159,-0.21531482,cancer
-4.7092495,-2.802241,nervous_system
1.0724198,-3.8839555,cancer
2.046258,0.34010005,cancer
-3.070818,-0.39153954,cancer
-3.4820726,2.8430333,immune_system
-1.1943908,1.062006,nervous_system
-2.155451,0.8620639,cancer
-0.42969197,-0.5491816,cancer
8.075568,-1.297576,cancer
2.1187544,3.8859668,cancer
3.8767831,1.323187,mental_health
5.994704,-1.1423572,cancer
-1.1334354,-2.9425726,cancer
-1.1755596,-1.7765019,cancer
-5.8904376,0.33892903,cancer
1.0068007,-2.3009055,cancer
3.4414368,-0.104155265,nervous_system
-0.616064,0.44171408,cancer
-1.561116,-1.0245508,cancer
5.390018,-0.17340776,cancer
-4.3045783,1.3062857,gastrointestinal
-2.7893622,2.6514125,cancer
-1.7473149,0.07540874,cancer
3.8965807,-0.03205867,cancer
-1.9947348,-0.30886984,immune_system
0.09843646,1.5085092,cancer
0.3029762,-0.17724241,cancer
-6.9274898,-0.79966366,cancer
-3.2994225,1.1201003,gastrointestinal
0.97167605,1.8366351,mental_health
-7.171348,2.0439186,cancer
0.13523798,1.6286243,immune_system
-0.27317587,-0.79847354,cancer
0.38158277,-0.88232714,mental_health
0.011459506,2.1600854,cancer
-1.3328007,-6.934602,cancer
0.27671286,-1.4125994,immune_system
0.33203498,4.179705,nervous_system
-0.2177547,-0.91187,mental_health
2.2630885,1.594031,mental_health
1.6467565,0.69700617,immune_system
-2.6315062,-2.7064972,gastrointestinal
1.5230905,-1.0002023,cancer
-0.6246191,3.7711313,immune_system
0.7307122,3.6407192,mental_health
-1.7647942,6.8577666,nervous_system
-0.46148393,0.5600179,cancer
0.35591307,-6.1307125,cancer
4.190081,1.7980913,nervous_system
1.7582066,2.6074202,immune_system
-0.26236874,2.9852448,cancer
-4.41477,-0.53375477,immune_system
-3.3271382,1.4413825,immune_system
5.0938964,-0.3319298,immune_system
-0.65172225,-3.6039045,cancer
2.3827605,-1.0571721,immune_system
-1.949059,-2.080516,nervous_system
0.22509207,-0.73159444,gastrointestinal
0.30753168,-5.290415,cancer
2.9619944,1.9166719,immune_system
-1.7501156,4.373618,cancer
-2.6842165,2.5669744,cancer
-4.3149433,-2.417866,mental_health
-4.872306,-0.4963362,cancer
5.874986,-4.171101,cancer
2.2247045,-3.2521272,mental_health
-5.685985,2.4224083,nervous_system
2.2268374,-1.3200577,immune_system
-2.7933078,-1.9317235,cancer
2.3669496,2.4536629,gastrointestinal
-0.24904256,-4.1046243,immune_system
0.93469626,2.8939083,gastrointestinal
-2.663608,-2.8903363,gastrointestinal
-5.253612,1.2179887,immune_system
3.8433678,-5.463228,cancer
2.4561327,3.7956798,immune_system
-2.070141,3.1188545,nervous_system
-0.33117035,0.7945267,mental_health
1.339775,-4.6147094,cancer
-5.8030853,0.10445517,cancer
5.3699007,1.6267581,cancer
-0.6700335,0.89356905,cancer
4.6329226,-2.107032,cancer
1.4147531,-6.6607165,cancer
-0.57970273,-3.7188256,cancer
-0.7697332,-2.0518262,nervous_system
