pca1,pca2,category
-10.018327,0.39944446,cancer
-2.3531158,-0.011952678,gastrointestinal
-1.7445838,-0.9602538,cancer
-5.3170385,0.06557968,mental_health
-9.978748,-0.1922339,nervous_system
33.610634,-1.1885717,nervous_system
-3.9495945,-1.3267918,gastrointestinal
-9.604875,-0.027921818,immune_system
-10.582971,0.63114756,cancer
10.779882,0.38195014,immune_system
31.551422,-5.0591435,cancer
-9.438406,-0.39009902,cancer
44.182465,-7.7647843,nervous_system
59.914314,-25.907118,cancer
-9.904295,0.56049424,cancer
7.346353,0.50502807,mental_health
-9.939037,0.092609785,gastrointestinal
-8.661304,0.024257783,cancer
-1.2907041,0.15639533,immune_system
-9.963925,0.62972474,cancer
-5.936019,0.56966144,cancer
-9.914789,0.40865403,immune_system
57.133327,49.47703,nervous_system
-5.1100225,0.3771669,cancer
-9.694725,-0.1013722,nervous_system
-9.648166,0.26735023,cancer
-10.051951,-0.0650903,cancer
-9.393383,-0.50988144,cancer
-9.898293,0.7176666,immune_system
-9.946321,0.45708218,nervous_system
-9.035369,0.6944142,cancer
-10.35549,0.1275857,cancer
-1.3096702,0.112672694,cancer
-9.583875,0.53424364,cancer
5.3751893,0.40479583,mental_health
-9.451285,0.13077359,cancer
-8.472028,0.75035495,cancer
-5.750988,0.9580683,cancer
-8.779723,0.11958059,cancer
-8.456387,0.67796785,cancer
2.5896618,0.19293915,nervous_system
-5.4214473,-0.38246,cancer
-3.1452575,-0.42862722,cancer
-5.6112514,0.69287306,cancer
-8.817559,0.49948934,gastrointestinal
4.626745,-0.77935886,cancer
-9.60255,0.8495281,cancer
-9.867423,0.15439752,cancer
15.06593,-1.1806376,immune_system
-6.0694547,0.35306776,cancer
-9.283388,0.04755449,cancer
71.08206,-6.1340656,cancer
-9.948348,-0.18984224,gastrointestinal
3.7830338,-0.07509753,mental_health
-9.533355,-0.17720068,cancer
-6.067939,-0.8621033,immune_system
0.4065476,-0.67483485,cancer
-0.30390903,-0.7476537,mental_health
4.956278,-1.8761159,cancer
-9.461273,0.12746729,cancer
22.15476,-2.3457696,immune_system
43.14477,1.0473046,nervous_system
-3.5956602,0.510656,mental_health
15.393392,-1.5617483,mental_health
-5.182971,-0.55342764,immune_system
3.4529943,-0.7088738,gastrointestinal
-7.9051237,0.060484443,cancer
13.31008,-2.7202172,immune_system
-7.993314,0.4363773,mental_health
-5.5942163,0.37616593,nervous_system
-9.319467,0.16832928,cancer
-9.384629,-0.2694298,cancer
-9.892929,0.5030433,nervous_system
-0.6416302,-0.51756805,immune_system
-9.230327,-0.55468833,cancer
-5.2044616,0.11627179,immune_system
15.746207,-0.68477404,immune_system
-1.9838889,-0.33422723,immune_system
-9.492002,-0.328273,cancer
30.585384,-2.5536935,immune_system
-9.562498,0.9487836,nervous_system
-9.975434,0.17171462,gastrointestinal
-7.1171,-0.05162052,cancer
-8.063031,0.71469766,immune_system
-3.051168,-1.2224687,cancer
-9.169262,0.5263057,cancer
34.878166,0.6238303,mental_health
-9.421233,-0.36125934,cancer
-2.488689,-0.21255471,cancer
-4.266114,0.37269735,mental_health
-9.813687,0.020974481,nervous_system
19.341362,-0.92949474,immune_system
-9.623269,-0.39789858,cancer
-9.517776,0.6421239,gastrointestinal
-5.695229,-0.07821773,immune_system
-10.317012,0.25756383,gastrointestinal
-0.89266753,0.6197885,gastrointestinal
-9.026056,0.30687153,immune_system
-2.5210848,0.29200503,cancer
-10.115611,0.54611534,immune_system
57.148373,-0.06918603,nervous_system
8.943239,0.54779994,mental_health
-9.34134,0.7238354,cancer
-3.5864317,-0.34012112,cancer
-5.185842,-0.68241435,cancer
-10.087188,0.65189606,cancer
-9.57786,0.45835087,cancer
-6.214407,-0.42176428,cancer
-10.725568,0.94733936,cancer
0.94214654,-0.8274264,nervous_system
